"","X","draw","alpha","beta","gamma","tau","cause_code","age_code"
"74",19074,74,3.262367729,0.021724852,0.466973449,5.78517028,"cvd_stroke",45
"75",19075,75,5.444915759,0.03011166,0.312766474,3.696738918,"cvd_stroke",45
"76",19076,76,5.664767461,0.00894385,0.414915312,5.088631848,"cvd_stroke",45
"77",19077,77,2.856555489,0.007368848,0.586479121,5.819593395,"cvd_stroke",45
"78",19078,78,2.971583884,0.04192935,0.356564098,4.10973084,"cvd_stroke",45
"79",19079,79,3.389955222,0.034827974,0.385318427,2.482087658,"cvd_stroke",45
"80",19080,80,2.33091851,0.010649017,0.670825413,4.258366208,"cvd_stroke",45
"81",19081,81,2.219860353,0.016924916,0.573544496,5.178278656,"cvd_stroke",45
"82",19082,82,10.24510598,0.007106944,0.362926904,3.603237118,"cvd_stroke",45
"83",19083,83,14.06544085,0.015450777,0.241613811,4.528802447,"cvd_stroke",45
"84",19084,84,4.88194596,0.014623384,0.413894115,3.710184109,"cvd_stroke",45
"85",19085,85,3.894083166,0.021927416,0.382414407,2.595163346,"cvd_stroke",45
"86",19086,86,2.130526437,0.03160881,0.463173478,4.704393762,"cvd_stroke",45
"87",19087,87,2.431234131,0.002963158,0.979017189,3.307281738,"cvd_stroke",45
"88",19088,88,2.286495692,0.046578238,0.431301647,2.685363745,"cvd_stroke",45
"89",19089,89,3.156658739,0.008102705,0.532694173,3.374954534,"cvd_stroke",45
"90",19090,90,2.184605825,0.03046223,0.468009904,5.007740855,"cvd_stroke",45
"91",19091,91,2.405254581,0.014165025,0.556146214,5.141194125,"cvd_stroke",45
"92",19092,92,3.127344091,0.020915204,0.441261333,5.487368908,"cvd_stroke",45
"93",19093,93,7.595807913,0.007479569,0.400556619,2.434950917,"cvd_stroke",45
"94",19094,94,28.70839678,0.003285958,0.339802971,3.554889984,"cvd_stroke",45
"95",19095,95,3.056178731,0.025149536,0.435062595,3.203579509,"cvd_stroke",45
"96",19096,96,2.922719707,0.023497277,0.50189818,3.178789418,"cvd_stroke",45
"97",19097,97,15.48382557,0.006891733,0.339881347,5.03888163,"cvd_stroke",45
"98",19098,98,21.89531797,0.010819325,0.226926936,5.672283928,"cvd_stroke",45
"99",19099,99,2.373583918,0.028774986,0.447331016,4.615359662,"cvd_stroke",45
"100",19100,100,2.481259252,0.021962321,0.495626843,4.765424342,"cvd_stroke",45
"101",19101,101,2.469994127,0.006380321,0.634177221,5.186824766,"cvd_stroke",45
"102",19102,102,23.24690879,0.002796093,0.376757774,4.568454805,"cvd_stroke",45
"103",19103,103,130.7271451,0.000524223,0.399757173,3.022721632,"cvd_stroke",45
"104",19104,104,38.75136495,0.002064057,0.359661607,4.573509761,"cvd_stroke",45
"105",19105,105,2.819204437,0.03848163,0.323886575,5.022175769,"cvd_stroke",45
"106",19106,106,13.53315364,0.002335382,0.440398101,3.786454033,"cvd_stroke",45
"107",19107,107,2.71800142,0.048365196,0.363456503,4.950222181,"cvd_stroke",45
"108",19108,108,2.353231227,0.002514347,1.314301667,3.7893905,"cvd_stroke",45
"109",19109,109,3.529827849,0.02937524,0.369909291,3.888519078,"cvd_stroke",45
"110",19110,110,3.031550994,0.006821694,0.613286511,4.466491858,"cvd_stroke",45
"111",19111,111,3.612083888,0.018686531,0.442445203,5.766557143,"cvd_stroke",45
"112",19112,112,1.961176448,0.021629743,0.591828646,4.945085815,"cvd_stroke",45
"113",19113,113,166.7871249,0.000438414,0.363451842,4.522705812,"cvd_stroke",45
"114",19114,114,5.272959677,0.011030977,0.414092397,4.263441665,"cvd_stroke",45
"115",19115,115,3.704365671,0.018677913,0.411399544,2.731549112,"cvd_stroke",45
"116",19116,116,1.896144887,0.001232309,1.369621619,4.847146666,"cvd_stroke",45
"117",19117,117,2.308094919,0.004244918,0.973018575,5.102454559,"cvd_stroke",45
"118",19118,118,7.633168661,0.004663935,0.48400592,3.788527897,"cvd_stroke",45
"119",19119,119,4.112543567,0.029247507,0.328580182,2.55116305,"cvd_stroke",45
"120",19120,120,99.13928511,0.000765451,0.355274972,2.494391539,"cvd_stroke",45
"121",19121,121,2.615847833,0.026995756,0.419372745,4.859593222,"cvd_stroke",45
"122",19122,122,9.491241371,0.006216783,0.357297631,5.180097324,"cvd_stroke",45
"123",19123,123,2.514400209,0.023154881,0.47285601,3.291182167,"cvd_stroke",45
"124",19124,124,3.614942329,0.00483498,0.609142664,3.837111362,"cvd_stroke",45
"125",19125,125,16.49799586,0.006221886,0.32265884,4.081374822,"cvd_stroke",45
"126",19126,126,2.451354461,0.035225747,0.457348995,4.136322891,"cvd_stroke",45
"127",19127,127,2.501071669,0.013017657,0.494783238,3.914835358,"cvd_stroke",45
"128",19128,128,3.039486229,0.012579374,0.518210793,4.114010887,"cvd_stroke",45
"129",19129,129,1.668185257,0.005684674,0.735075573,5.773706243,"cvd_stroke",45
"130",19130,130,3.060941715,0.045569802,0.350541297,2.481831119,"cvd_stroke",45
"131",19131,131,2.528101227,0.011311456,0.8258964,3.776284943,"cvd_stroke",45
